Registration Series,Registration Zone / City
PB-66,Nihal Singh Wala
PB-67,Shahkot
PB-68,Dhar Kalan
PB-69,Bagha Purana
PB-70,Dera Bassi
PB-71,Chamkaur Sahib
PB-72,Patran
PB-73,Tappa Mandi
PB-74,Nangal
PB-75,Lehra
PY-01,Pondicherry
PY-02,Karaikal
PY-03,Mahe
PY-04,Yanam
RJ-01,Ajmer
RJ-02,Alwar
RJ-03,Banswara
RJ-04,Barmer
RJ-05,Bharatpur
RJ-06,Bhilwara
RJ-07,Bikaner
RJ-08,Bundi
RJ-09,Chittaurgarh
RJ-10,Churu
RJ-11,Dholpur
RJ-12,Dungarpur
RJ-13,Ganganagar
RJ-14,Jaipur 
RJ-15,Jaisalmer
RJ-16,Jalore
RJ-17,Jhalawar
RJ-18,Jhunjhunu
RJ-19,Jodhpur
RJ-20,Kota
RJ-21,Nagaur
RJ-22,Pali
RJ-23,Sikar
RJ-24,Sirohi
RJ-25,Sawai Madhopur
RJ-26,Tonk
RJ-27,Udaipur
RJ-28,Baran
RJ-29,Dausa
RJ-30,Rajsamand
RJ-31,Hanumangarh
RJ-32,Kotputli
RJ-33,Ramganj Mandi
RJ-34,Karauli
RJ-35,Pratapgarh
RJ-36,Beawar
RJ-37,Didwana
RJ-38,Abu road 
RJ-39,Balotra 
RJ-40,Bhiwadi 
RJ-41,Chomu 
RJ-42,Kishangarh 
RJ-43,Phalodi 
RJ-44,Sujangarh
RJ-45,Jaipur
RJ-46,Malpur
SK-01,Gangtok
SK-02,Gyalshing
SK-03,Mangan
SK-04,Jorethang
TN-01,Chennai 
TN-02,Chennai 
TN-03,Chennai 
TN-04,Chennai 
TN-05,Chennai 
TN-06,Chennai 
TN-07,Chennai 
TN-09,Chennai 
TN-10,Chennai 
